ERROR 2012-03-12 11:06:37,974 [main] - Error log message at: 1331546797974
DEBUG 2012-03-12 11:06:37,977 [main] - Error log message at: 1331546797974 should not be logged in logfile: log/harmony.error.log
DEBUG 2012-03-12 11:06:37,985 [main] - Debug log message at: 1331546797985
INFO  2012-03-12 11:06:37,988 [main] - Info log message at: 1331546797988
DEBUG 2012-03-12 11:06:37,988 [main] - Info log message at: 1331546797988 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-12 11:06:37,991 [main] - Warn log message at: 1331546797991
DEBUG 2012-03-12 11:06:37,992 [main] - Warn log message at: 1331546797991 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-12 11:06:37,994 [main] - Fatal log message at: 1331546797994
DEBUG 2012-03-12 11:06:37,994 [main] - Fatal log message at: 1331546797994 should not be logged in logfile: log/harmony.fatal.log
DEBUG 2012-03-12 11:06:38,003 [main] - logDebug
INFO  2012-03-12 11:06:38,003 [main] - logInfo
WARN  2012-03-12 11:06:38,003 [main] - logWarn
ERROR 2012-03-12 11:06:38,003 [main] - logError
FATAL 2012-03-12 11:06:38,003 [main] - logFatal
ERROR 2012-03-12 11:06:45,060 [main] - Error log message at: 1331546805059
DEBUG 2012-03-12 11:06:45,062 [main] - Error log message at: 1331546805059 should not be logged in logfile: log/harmony.error.log
DEBUG 2012-03-12 11:06:45,071 [main] - Debug log message at: 1331546805070
INFO  2012-03-12 11:06:45,073 [main] - Info log message at: 1331546805073
DEBUG 2012-03-12 11:06:45,074 [main] - Info log message at: 1331546805073 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-12 11:06:45,076 [main] - Warn log message at: 1331546805076
DEBUG 2012-03-12 11:06:45,077 [main] - Warn log message at: 1331546805076 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-12 11:06:45,079 [main] - Fatal log message at: 1331546805079
DEBUG 2012-03-12 11:06:45,080 [main] - Fatal log message at: 1331546805079 should not be logged in logfile: log/harmony.fatal.log
DEBUG 2012-03-12 11:06:45,093 [main] - logDebug
INFO  2012-03-12 11:06:45,093 [main] - logInfo
WARN  2012-03-12 11:06:45,094 [main] - logWarn
ERROR 2012-03-12 11:06:45,094 [main] - logError
FATAL 2012-03-12 11:06:45,094 [main] - logFatal
ERROR 2012-03-12 11:07:17,400 [main] - Error log message at: 1331546837399
DEBUG 2012-03-12 11:07:17,403 [main] - Error log message at: 1331546837399 should not be logged in logfile: log/harmony.error.log
DEBUG 2012-03-12 11:07:17,411 [main] - Debug log message at: 1331546837411
INFO  2012-03-12 11:07:17,414 [main] - Info log message at: 1331546837414
DEBUG 2012-03-12 11:07:17,414 [main] - Info log message at: 1331546837414 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-12 11:07:17,417 [main] - Warn log message at: 1331546837417
DEBUG 2012-03-12 11:07:17,418 [main] - Warn log message at: 1331546837417 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-12 11:07:17,421 [main] - Fatal log message at: 1331546837421
DEBUG 2012-03-12 11:07:17,421 [main] - Fatal log message at: 1331546837421 should not be logged in logfile: log/harmony.fatal.log
DEBUG 2012-03-12 11:07:17,433 [main] - logDebug
INFO  2012-03-12 11:07:17,433 [main] - logInfo
WARN  2012-03-12 11:07:17,433 [main] - logWarn
ERROR 2012-03-12 11:07:17,433 [main] - logError
FATAL 2012-03-12 11:07:17,433 [main] - logFatal
ERROR 2012-03-12 11:14:22,931 [main] - Error log message at: 1331547262931
DEBUG 2012-03-12 11:14:22,957 [main] - Error log message at: 1331547262931 should not be logged in logfile: log/harmony.error.log
DEBUG 2012-03-12 11:14:22,968 [main] - Debug log message at: 1331547262968
INFO  2012-03-12 11:14:22,973 [main] - Info log message at: 1331547262973
DEBUG 2012-03-12 11:14:22,974 [main] - Info log message at: 1331547262973 should not be logged in logfile: log/harmony.info.log
WARN  2012-03-12 11:14:22,979 [main] - Warn log message at: 1331547262979
DEBUG 2012-03-12 11:14:22,980 [main] - Warn log message at: 1331547262979 should not be logged in logfile: log/harmony.warn.log
FATAL 2012-03-12 11:14:22,982 [main] - Fatal log message at: 1331547262982
DEBUG 2012-03-12 11:14:22,983 [main] - Fatal log message at: 1331547262982 should not be logged in logfile: log/harmony.fatal.log
DEBUG 2012-03-12 11:14:22,995 [main] - logDebug
INFO  2012-03-12 11:14:22,995 [main] - logInfo
WARN  2012-03-12 11:14:22,995 [main] - logWarn
